filename	label	sex	speaker	domain	fold
MSP-IMPROV-S13N-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S13S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S14A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S14H-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S14N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S14S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S15A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S15N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S15S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S16A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S16H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S16N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S16S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S17A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S17H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S17N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S17S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S18A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S18H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S18N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S19A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S19H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S19N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S19S-M01-R-MM01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S20A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S20H-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S20N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-P-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-P-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-FM01	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-FM02	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-FM03	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-FM04	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-FM06	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF05	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF06	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-S-MF07	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-F01-T-FM01	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-P-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-P-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM05	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-FM06	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-MF04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-MF05	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-S-MF06	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01A-M01-T-MF01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-P-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-P-FM03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-P-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-MF03	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-MF04	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-S-MF05	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-F01-T-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-P-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-FM02	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-MF02	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-MF03	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-S-MF04	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-T-MF01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-P-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-P-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-FM04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-S-MF03	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-F01-T-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-P-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-P-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-P-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM05	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-FM06	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-S-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-MF03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-P-MF04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-FM01	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-FM02	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-FM03	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-MF02	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-MF04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-MF05	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-F01-S-MF06	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-P-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-P-MF04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF02	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF04	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF05	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-S-MF06	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-T-MF01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM05	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-FM06	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-MF03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-P-MF04	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-FM01	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-FM02	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-FM03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-FM05	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF03	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF04	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF05	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF06	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF09	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-S-MF11	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-F01-T-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-P-FM02	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-P-MF01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-P-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-FM04	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-FM05	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-FM06	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF05	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF06	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF07	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF08	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-S-MF09	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-P-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-FM03	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-MF03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-S-MF04	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-F01-T-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-P-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-MF01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-MF02	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-MF03	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-S-MF04	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-P-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-P-FM03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-S-FM01	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-S-FM02	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-S-FM03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-S-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-F01-T-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-S-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-S-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-P-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-P-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-FM01	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-FM02	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-FM03	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-FM04	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-MF02	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-S-MF03	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-F01-T-FM01	S	F	01F	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-P-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-MF01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-MF02	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-S-MF03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-P-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-S-FM01	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-S-FM02	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-S-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-S-MF03	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-S-MF04	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-F01-T-FM01	A	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-P-MF01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-P-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-FM01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-FM02	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-MF01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-MF02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-MF03	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-S-MF04	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-P-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-S-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-S-FM02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-S-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-S-MF02	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-F01-T-FM01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-P-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-P-MF01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-S-FM03	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-S-FM04	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-S-MF02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03H-M01-T-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-P-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-P-MF01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-S-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-S-FM02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-S-MF01	H	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-S-MF02	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-F01-T-FM01	N	F	01F	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-P-FM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-P-MF01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-S-FM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-S-FM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-S-FM03	N	M	01M	MSP-IMPROV	1
