filename	label	sex	speaker	duration	condition	fold
Ses01F_script01_3_M025	S	M	Ses01M	8.2	script	1
Ses01F_script01_3_M026	S	M	Ses01M	3.2	script	1
Ses01F_script01_3_M027	S	M	Ses01M	2.2	script	1
Ses01F_script01_3_M028	S	M	Ses01M	11.1	script	1
Ses01F_script01_3_M029	S	M	Ses01M	20.9	script	1
Ses01F_script01_3_M030	S	M	Ses01M	15.2	script	1
Ses01F_script01_3_M032	S	M	Ses01M	13.3	script	1
Ses01F_script01_3_M033	S	M	Ses01M	18.1	script	1
Ses01F_script01_3_M036	S	M	Ses01M	10.7	script	1
Ses01F_script01_3_M037	N	M	Ses01M	3.1	script	1
Ses01F_script03_2_F000	H	F	Ses01F	5.2	script	1
Ses01F_script03_2_F001	H	F	Ses01F	4.1	script	1
Ses01F_script03_2_F002	H	F	Ses01F	3.8	script	1
Ses01F_script03_2_F004	N	F	Ses01F	5.6	script	1
Ses01F_script03_2_F005	N	F	Ses01F	2.0	script	1
Ses01F_script03_2_F013	A	F	Ses01F	2.1	script	1
Ses01F_script03_2_F014	A	F	Ses01F	2.2	script	1
Ses01F_script03_2_F015	A	F	Ses01F	4.7	script	1
Ses01F_script03_2_F016	A	F	Ses01F	4.6	script	1
Ses01F_script03_2_F017	A	F	Ses01F	1.8	script	1
Ses01F_script03_2_F018	A	F	Ses01F	1.8	script	1
Ses01F_script03_2_F021	A	F	Ses01F	8.5	script	1
Ses01F_script03_2_F022	A	F	Ses01F	2.6	script	1
Ses01F_script03_2_F023	A	F	Ses01F	2.2	script	1
Ses01F_script03_2_F024	A	F	Ses01F	4.3	script	1
Ses01F_script03_2_F025	A	F	Ses01F	2.9	script	1
Ses01F_script03_2_F026	A	F	Ses01F	5.8	script	1
Ses01F_script03_2_F027	A	F	Ses01F	2.0	script	1
Ses01F_script03_2_F028	A	F	Ses01F	2.5	script	1
Ses01F_script03_2_F029	A	F	Ses01F	3.0	script	1
Ses01F_script03_2_F030	N	F	Ses01F	1.4	script	1
Ses01F_script03_2_F031	N	F	Ses01F	3.7	script	1
Ses01F_script03_2_F032	N	F	Ses01F	2.6	script	1
Ses01F_script03_2_F034	A	F	Ses01F	5.1	script	1
Ses01F_script03_2_F035	A	F	Ses01F	3.9	script	1
Ses01F_script03_2_F036	A	F	Ses01F	8.8	script	1
Ses01F_script03_2_F037	A	F	Ses01F	10.3	script	1
Ses01F_script03_2_F038	A	F	Ses01F	5.4	script	1
Ses01F_script03_2_F039	A	F	Ses01F	2.0	script	1
Ses01F_script03_2_F040	A	F	Ses01F	18.4	script	1
Ses01F_script03_2_M001	N	M	Ses01M	6.5	script	1
Ses01F_script03_2_M002	N	M	Ses01M	4.4	script	1
Ses01F_script03_2_M004	N	M	Ses01M	4.2	script	1
Ses01F_script03_2_M007	A	M	Ses01M	2.6	script	1
Ses01F_script03_2_M010	N	M	Ses01M	2.7	script	1
Ses01F_script03_2_M011	N	M	Ses01M	3.5	script	1
Ses01F_script03_2_M014	A	M	Ses01M	2.2	script	1
Ses01F_script03_2_M016	N	M	Ses01M	3.3	script	1
Ses01F_script03_2_M018	N	M	Ses01M	3.0	script	1
Ses01F_script03_2_M019	N	M	Ses01M	1.4	script	1
Ses01F_script03_2_M020	A	M	Ses01M	5.1	script	1
Ses01F_script03_2_M021	A	M	Ses01M	3.2	script	1
Ses01F_script03_2_M022	A	M	Ses01M	7.3	script	1
Ses01F_script03_2_M023	A	M	Ses01M	3.7	script	1
Ses01F_script03_2_M024	A	M	Ses01M	12.8	script	1
Ses01F_script03_2_M025	A	M	Ses01M	4.5	script	1
Ses01F_script03_2_M026	A	M	Ses01M	9.1	script	1
Ses01F_script03_2_M027	A	M	Ses01M	14.8	script	1
Ses01F_script03_2_M029	A	M	Ses01M	5.1	script	1
Ses01F_script03_2_M030	A	M	Ses01M	2.3	script	1
Ses01F_script03_2_M031	N	M	Ses01M	4.3	script	1
Ses01F_script03_2_M032	A	M	Ses01M	2.9	script	1
Ses01F_script03_2_M033	A	M	Ses01M	5.7	script	1
Ses01F_script03_2_M034	A	M	Ses01M	3.2	script	1
Ses01F_script03_2_M035	A	M	Ses01M	2.3	script	1
Ses01F_script03_2_M036	A	M	Ses01M	4.3	script	1
Ses01F_script03_2_M037	A	M	Ses01M	9.0	script	1
Ses01F_script03_2_M038	A	M	Ses01M	2.1	script	1
Ses01F_script03_2_M039	A	M	Ses01M	1.5	script	1
Ses01F_script03_2_M040	A	M	Ses01M	16.0	script	1
Ses01F_script02_2_F000	N	F	Ses01F	2.5	script	1
Ses01F_script02_2_F001	N	F	Ses01F	1.9	script	1
Ses01F_script02_2_F006	A	F	Ses01F	6.3	script	1
Ses01F_script02_2_F008	A	F	Ses01F	6.0	script	1
Ses01F_script02_2_F009	A	F	Ses01F	4.2	script	1
Ses01F_script02_2_F010	A	F	Ses01F	3.6	script	1
Ses01F_script02_2_F015	S	F	Ses01F	10.5	script	1
Ses01F_script02_2_F016	A	F	Ses01F	3.2	script	1
Ses01F_script02_2_F017	N	F	Ses01F	6.9	script	1
Ses01F_script02_2_F019	H	F	Ses01F	16.3	script	1
Ses01F_script02_2_F022	S	F	Ses01F	6.4	script	1
Ses01F_script02_2_F023	N	F	Ses01F	2.3	script	1
Ses01F_script02_2_F026	N	F	Ses01F	1.8	script	1
Ses01F_script02_2_F034	S	F	Ses01F	4.5	script	1
Ses01F_script02_2_F035	S	F	Ses01F	13.5	script	1
Ses01F_script02_2_F036	S	F	Ses01F	2.2	script	1
Ses01F_script02_2_F040	S	F	Ses01F	10.0	script	1
Ses01F_script02_2_F041	N	F	Ses01F	5.6	script	1
Ses01F_script02_2_F042	H	F	Ses01F	6.2	script	1
Ses01F_script02_2_F043	H	F	Ses01F	3.8	script	1
Ses01F_script02_2_F044	H	F	Ses01F	2.1	script	1
Ses01F_script02_2_F045	H	F	Ses01F	4.6	script	1
Ses01F_script02_2_F046	S	F	Ses01F	2.5	script	1
Ses01F_script02_2_F047	N	F	Ses01F	2.9	script	1
Ses01F_script02_2_M000	H	M	Ses01M	3.1	script	1
Ses01F_script02_2_M001	H	M	Ses01M	2.4	script	1
Ses01F_script02_2_M002	N	M	Ses01M	2.4	script	1
Ses01F_script02_2_M006	N	M	Ses01M	6.9	script	1
Ses01F_script02_2_M016	N	M	Ses01M	15.6	script	1
Ses01F_script02_2_M017	N	M	Ses01M	5.5	script	1
Ses01F_script02_2_M019	N	M	Ses01M	10.6	script	1
Ses01F_script02_2_M021	N	M	Ses01M	5.1	script	1
Ses01F_script02_2_M022	N	M	Ses01M	5.4	script	1
Ses01F_script02_2_M023	N	M	Ses01M	3.0	script	1
Ses01F_script02_2_M024	H	M	Ses01M	1.8	script	1
Ses01F_script02_2_M026	H	M	Ses01M	4.0	script	1
Ses01F_script02_2_M033	N	M	Ses01M	3.0	script	1
Ses01F_script02_2_M037	S	M	Ses01M	2.9	script	1
Ses01F_script02_2_M038	S	M	Ses01M	3.6	script	1
Ses01F_script02_2_M040	N	M	Ses01M	6.8	script	1
Ses01F_script02_2_M042	N	M	Ses01M	4.3	script	1
Ses01F_script02_2_M043	N	M	Ses01M	1.4	script	1
Ses01F_script02_2_M044	H	M	Ses01M	3.2	script	1
Ses01F_script02_2_M046	H	M	Ses01M	1.9	script	1
Ses01F_script02_2_M047	N	M	Ses01M	4.2	script	1
Ses01F_script02_2_M048	N	M	Ses01M	7.0	script	1
Ses01F_script02_2_M049	H	M	Ses01M	2.5	script	1
Ses01M_impro04_F000	N	F	Ses01F	2.7	impro	1
Ses01M_impro04_F002	N	F	Ses01F	1.9	impro	1
Ses01M_impro04_F003	N	F	Ses01F	3.2	impro	1
Ses01M_impro04_F004	N	F	Ses01F	2.8	impro	1
Ses01M_impro04_F005	N	F	Ses01F	3.3	impro	1
Ses01M_impro04_F006	N	F	Ses01F	6.6	impro	1
Ses01M_impro04_F007	N	F	Ses01F	3.3	impro	1
Ses01M_impro04_F008	N	F	Ses01F	2.3	impro	1
Ses01M_impro04_F009	N	F	Ses01F	4.3	impro	1
Ses01M_impro04_F010	N	F	Ses01F	8.0	impro	1
Ses01M_impro04_F011	N	F	Ses01F	12.2	impro	1
Ses01M_impro04_F012	N	F	Ses01F	1.8	impro	1
Ses01M_impro04_F013	N	F	Ses01F	5.0	impro	1
Ses01M_impro04_F014	N	F	Ses01F	2.9	impro	1
Ses01M_impro04_F015	N	F	Ses01F	2.3	impro	1
Ses01M_impro04_F016	N	F	Ses01F	1.5	impro	1
Ses01M_impro04_F017	N	F	Ses01F	4.0	impro	1
Ses01M_impro04_F018	N	F	Ses01F	7.8	impro	1
Ses01M_impro04_F019	N	F	Ses01F	4.0	impro	1
Ses01M_impro04_F020	N	F	Ses01F	2.4	impro	1
Ses01M_impro04_F021	N	F	Ses01F	2.8	impro	1
Ses01M_impro04_F022	N	F	Ses01F	6.6	impro	1
Ses01M_impro04_F023	N	F	Ses01F	2.8	impro	1
Ses01M_impro04_F025	N	F	Ses01F	3.2	impro	1
Ses01M_impro04_M014	A	M	Ses01M	1.3	impro	1
Ses01M_impro04_M018	A	M	Ses01M	7.7	impro	1
Ses01M_impro04_M023	A	M	Ses01M	6.3	impro	1
Ses01M_impro04_M025	N	M	Ses01M	1.5	impro	1
Ses01M_impro03_F002	H	F	Ses01F	1.4	impro	1
Ses01M_impro03_F003	H	F	Ses01F	1.6	impro	1
Ses01M_impro03_F004	H	F	Ses01F	2.6	impro	1
Ses01M_impro03_F005	H	F	Ses01F	7.2	impro	1
Ses01M_impro03_F006	H	F	Ses01F	3.7	impro	1
Ses01M_impro03_F007	H	F	Ses01F	4.3	impro	1
Ses01M_impro03_F008	H	F	Ses01F	7.2	impro	1
Ses01M_impro03_F009	H	F	Ses01F	3.8	impro	1
Ses01M_impro03_F010	H	F	Ses01F	11.1	impro	1
Ses01M_impro03_F011	H	F	Ses01F	8.4	impro	1
Ses01M_impro03_F012	H	F	Ses01F	7.5	impro	1
Ses01M_impro03_F013	H	F	Ses01F	1.7	impro	1
Ses01M_impro03_F014	H	F	Ses01F	3.3	impro	1
Ses01M_impro03_F015	H	F	Ses01F	6.6	impro	1
Ses01M_impro03_F016	H	F	Ses01F	4.4	impro	1
Ses01M_impro03_F017	N	F	Ses01F	2.9	impro	1
Ses01M_impro03_F018	N	F	Ses01F	1.3	impro	1
Ses01M_impro03_F019	H	F	Ses01F	3.6	impro	1
Ses01M_impro03_F020	H	F	Ses01F	1.8	impro	1
Ses01M_impro03_F021	N	F	Ses01F	3.5	impro	1
Ses01M_impro03_F022	H	F	Ses01F	4.0	impro	1
Ses01M_impro03_F023	H	F	Ses01F	7.8	impro	1
Ses01M_impro03_F024	H	F	Ses01F	1.8	impro	1
Ses01M_impro03_F025	H	F	Ses01F	3.7	impro	1
Ses01M_impro03_F026	H	F	Ses01F	2.6	impro	1
Ses01M_impro03_M000	H	M	Ses01M	2.6	impro	1
Ses01M_impro03_M001	H	M	Ses01M	5.3	impro	1
Ses01M_impro03_M003	N	M	Ses01M	3.6	impro	1
Ses01M_impro03_M004	H	M	Ses01M	9.3	impro	1
Ses01M_impro03_M005	H	M	Ses01M	4.2	impro	1
Ses01M_impro03_M006	N	M	Ses01M	7.5	impro	1
Ses01M_impro03_M007	H	M	Ses01M	8.1	impro	1
Ses01M_impro03_M008	H	M	Ses01M	15.1	impro	1
Ses01M_impro03_M010	H	M	Ses01M	2.7	impro	1
Ses01M_impro03_M011	H	M	Ses01M	2.3	impro	1
Ses01M_impro03_M012	H	M	Ses01M	1.7	impro	1
Ses01M_impro03_M013	H	M	Ses01M	2.2	impro	1
Ses01M_impro03_M014	N	M	Ses01M	3.5	impro	1
Ses01M_impro03_M015	H	M	Ses01M	2.1	impro	1
Ses01M_impro03_M016	H	M	Ses01M	3.9	impro	1
Ses01M_impro03_M017	H	M	Ses01M	11.3	impro	1
Ses01M_impro03_M018	N	M	Ses01M	2.0	impro	1
Ses01M_impro03_M019	H	M	Ses01M	3.8	impro	1
Ses01M_impro03_M020	H	M	Ses01M	3.3	impro	1
Ses01M_impro03_M021	N	M	Ses01M	8.7	impro	1
Ses01M_impro03_M022	H	M	Ses01M	9.8	impro	1
Ses01M_impro03_M023	H	M	Ses01M	4.5	impro	1
Ses01M_impro03_M024	H	M	Ses01M	1.5	impro	1
Ses01F_impro02_F000	S	F	Ses01F	9.3	impro	1
Ses01F_impro02_F001	S	F	Ses01F	2.9	impro	1
Ses01F_impro02_F002	S	F	Ses01F	5.7	impro	1
Ses01F_impro02_F003	N	F	Ses01F	5.7	impro	1
Ses01F_impro02_F004	S	F	Ses01F	5.8	impro	1
Ses01F_impro02_F005	S	F	Ses01F	2.6	impro	1
Ses01F_impro02_F006	N	F	Ses01F	4.2	impro	1
Ses01F_impro02_F008	S	F	Ses01F	3.9	impro	1
Ses01F_impro02_F010	S	F	Ses01F	4.2	impro	1
Ses01F_impro02_F012	S	F	Ses01F	3.0	impro	1
Ses01F_impro02_F013	S	F	Ses01F	6.1	impro	1
Ses01F_impro02_F014	S	F	Ses01F	7.4	impro	1
Ses01F_impro02_F015	S	F	Ses01F	3.6	impro	1
Ses01F_impro02_F016	N	F	Ses01F	2.2	impro	1
Ses01F_impro02_F017	S	F	Ses01F	6.7	impro	1
Ses01F_impro02_F018	N	F	Ses01F	3.0	impro	1
Ses01F_impro02_F019	S	F	Ses01F	3.1	impro	1
Ses01F_impro02_F020	S	F	Ses01F	4.5	impro	1
Ses01F_impro02_M001	S	M	Ses01M	5.8	impro	1
Ses01F_impro02_M005	S	M	Ses01M	4.9	impro	1
Ses01F_impro02_M009	S	M	Ses01M	3.7	impro	1
Ses01F_impro02_M010	S	M	Ses01M	4.2	impro	1
Ses01F_impro02_M011	S	M	Ses01M	3.2	impro	1
Ses01F_impro02_M012	N	M	Ses01M	4.7	impro	1
Ses01F_impro02_M013	S	M	Ses01M	4.7	impro	1
Ses01F_impro02_M014	S	M	Ses01M	4.6	impro	1
Ses01F_impro02_M015	N	M	Ses01M	1.2	impro	1
Ses01M_script01_2_F000	A	F	Ses01F	2.8	script	1
Ses01M_script01_2_F001	A	F	Ses01F	4.5	script	1
Ses01M_script01_2_F004	A	F	Ses01F	3.5	script	1
Ses01M_script01_2_F005	A	F	Ses01F	8.4	script	1
Ses01M_script01_2_F009	A	F	Ses01F	13.6	script	1
Ses01M_script01_2_F011	A	F	Ses01F	10.3	script	1
Ses01M_script01_2_F012	A	F	Ses01F	9.0	script	1
Ses01M_script01_2_F013	A	F	Ses01F	4.6	script	1
Ses01M_script01_2_M000	N	M	Ses01M	4.5	script	1
Ses01M_script01_2_M001	N	M	Ses01M	7.2	script	1
Ses01M_script01_2_M007	N	M	Ses01M	2.5	script	1
Ses01M_script01_2_M015	A	M	Ses01M	4.6	script	1
Ses01M_script01_2_M016	A	M	Ses01M	5.2	script	1
Ses01M_script01_2_M017	A	M	Ses01M	4.0	script	1
Ses01F_impro05_F008	A	F	Ses01F	2.1	impro	1
Ses01F_impro05_F009	A	F	Ses01F	7.3	impro	1
Ses01F_impro05_F011	A	F	Ses01F	1.7	impro	1
Ses01F_impro05_F012	A	F	Ses01F	5.1	impro	1
Ses01F_impro05_F014	A	F	Ses01F	3.4	impro	1
Ses01F_impro05_F015	A	F	Ses01F	15.5	impro	1
Ses01F_impro05_F016	A	F	Ses01F	3.9	impro	1
Ses01F_impro05_F017	A	F	Ses01F	9.4	impro	1
Ses01F_impro05_F018	A	F	Ses01F	2.4	impro	1
Ses01F_impro05_F019	A	F	Ses01F	5.4	impro	1
Ses01F_impro05_F020	A	F	Ses01F	4.4	impro	1
Ses01F_impro05_F021	A	F	Ses01F	4.8	impro	1
Ses01F_impro05_F022	A	F	Ses01F	3.4	impro	1
Ses01F_impro05_F023	A	F	Ses01F	1.9	impro	1
Ses01F_impro05_F024	A	F	Ses01F	1.4	impro	1
Ses01F_impro05_F025	A	F	Ses01F	3.1	impro	1
Ses01F_impro05_F026	A	F	Ses01F	1.5	impro	1
Ses01F_impro05_F028	A	F	Ses01F	2.1	impro	1
Ses01F_impro05_F029	A	F	Ses01F	3.9	impro	1
Ses01F_impro05_F030	A	F	Ses01F	3.3	impro	1
Ses01F_impro05_M000	N	M	Ses01M	1.6	impro	1
Ses01F_impro05_M001	H	M	Ses01M	1.2	impro	1
Ses01F_impro05_M002	H	M	Ses01M	1.1	impro	1
Ses01F_impro05_M003	N	M	Ses01M	1.5	impro	1
Ses01F_impro05_M004	N	M	Ses01M	1.5	impro	1
Ses01F_impro05_M005	N	M	Ses01M	4.1	impro	1
Ses01F_impro05_M006	N	M	Ses01M	1.7	impro	1
Ses01F_impro05_M007	N	M	Ses01M	5.9	impro	1
Ses01F_impro05_M008	N	M	Ses01M	1.8	impro	1
Ses01F_impro05_M009	N	M	Ses01M	5.8	impro	1
Ses01F_impro05_M010	N	M	Ses01M	6.1	impro	1
Ses01F_impro05_M011	N	M	Ses01M	20.3	impro	1
Ses01F_impro05_M012	N	M	Ses01M	2.8	impro	1
Ses01F_impro05_M013	N	M	Ses01M	1.4	impro	1
Ses01F_impro05_M014	N	M	Ses01M	1.4	impro	1
Ses01F_impro05_M015	N	M	Ses01M	3.0	impro	1
Ses01F_impro05_M016	N	M	Ses01M	8.2	impro	1
Ses01F_impro05_M017	N	M	Ses01M	6.4	impro	1
Ses01F_impro05_M019	N	M	Ses01M	1.5	impro	1
Ses01F_impro05_M020	N	M	Ses01M	1.3	impro	1
Ses01F_impro05_M022	N	M	Ses01M	2.2	impro	1
Ses01F_impro05_M023	N	M	Ses01M	7.3	impro	1
Ses01F_impro05_M024	N	M	Ses01M	6.3	impro	1
Ses01F_impro05_M025	N	M	Ses01M	1.4	impro	1
Ses01F_impro05_M026	N	M	Ses01M	5.7	impro	1
Ses01F_impro05_M027	N	M	Ses01M	1.7	impro	1
Ses01F_impro05_M028	N	M	Ses01M	3.7	impro	1
Ses01F_impro05_M029	N	M	Ses01M	6.5	impro	1
Ses01F_impro05_M030	N	M	Ses01M	4.5	impro	1
Ses01F_impro05_M031	N	M	Ses01M	2.3	impro	1
Ses01F_impro05_M034	N	M	Ses01M	6.5	impro	1
Ses01F_impro05_M035	N	M	Ses01M	6.3	impro	1
Ses01F_script01_2_F003	A	F	Ses01F	3.0	script	1
Ses01F_script01_2_F004	A	F	Ses01F	1.9	script	1
Ses01F_script01_2_F005	A	F	Ses01F	3.8	script	1
Ses01F_script01_2_F006	A	F	Ses01F	4.4	script	1
Ses01F_script01_2_F007	A	F	Ses01F	8.9	script	1
Ses01F_script01_2_F008	A	F	Ses01F	10.8	script	1
Ses01F_script01_2_F009	A	F	Ses01F	9.2	script	1
Ses01F_script01_2_F010	A	F	Ses01F	9.8	script	1
Ses01F_script01_2_F011	A	F	Ses01F	3.5	script	1
Ses01F_script01_2_F012	A	F	Ses01F	14.1	script	1
Ses01F_script01_2_F013	A	F	Ses01F	10.2	script	1
Ses01F_script01_2_M001	N	M	Ses01M	5.0	script	1
Ses01F_script01_2_M004	N	M	Ses01M	2.8	script	1
Ses01F_script01_2_M008	N	M	Ses01M	2.2	script	1
Ses01F_script01_2_M017	A	M	Ses01M	6.6	script	1
Ses01M_script02_2_F000	N	F	Ses01F	2.3	script	1
Ses01M_script02_2_F010	A	F	Ses01F	7.3	script	1
Ses01M_script02_2_F011	A	F	Ses01F	4.9	script	1
Ses01M_script02_2_F013	A	F	Ses01F	4.5	script	1
Ses01M_script02_2_F014	A	F	Ses01F	3.2	script	1
Ses01M_script02_2_F015	A	F	Ses01F	4.7	script	1
Ses01M_script02_2_F016	A	F	Ses01F	11.5	script	1
Ses01M_script02_2_F019	N	F	Ses01F	8.8	script	1
Ses01M_script02_2_F022	S	F	Ses01F	9.8	script	1
Ses01M_script02_2_F024	S	F	Ses01F	6.7	script	1
Ses01M_script02_2_F025	S	F	Ses01F	2.2	script	1
Ses01M_script02_2_F026	S	F	Ses01F	1.9	script	1
Ses01M_script02_2_F030	A	F	Ses01F	3.6	script	1
Ses01M_script02_2_F031	A	F	Ses01F	5.1	script	1
Ses01M_script02_2_F032	A	F	Ses01F	7.1	script	1
Ses01M_script02_2_F033	S	F	Ses01F	4.6	script	1
Ses01M_script02_2_F034	S	F	Ses01F	11.6	script	1
Ses01M_script02_2_F035	S	F	Ses01F	5.7	script	1
Ses01M_script02_2_F036	S	F	Ses01F	8.3	script	1
Ses01M_script02_2_F037	S	F	Ses01F	2.0	script	1
Ses01M_script02_2_F040	S	F	Ses01F	10.6	script	1
Ses01M_script02_2_F044	H	F	Ses01F	4.3	script	1
Ses01M_script02_2_F045	H	F	Ses01F	7.6	script	1
Ses01M_script02_2_F046	S	F	Ses01F	2.9	script	1
Ses01M_script02_2_F047	N	F	Ses01F	3.4	script	1
Ses01M_script02_2_M001	H	M	Ses01M	8.3	script	1
Ses01M_script02_2_M002	H	M	Ses01M	5.3	script	1
Ses01M_script02_2_M003	H	M	Ses01M	4.2	script	1
Ses01M_script02_2_M008	N	M	Ses01M	5.1	script	1
Ses01M_script02_2_M013	N	M	Ses01M	2.4	script	1
Ses01M_script02_2_M019	N	M	Ses01M	8.4	script	1
Ses01M_script02_2_M020	N	M	Ses01M	9.8	script	1
Ses01M_script02_2_M021	N	M	Ses01M	4.7	script	1
Ses01M_script02_2_M022	N	M	Ses01M	3.5	script	1
Ses01M_script02_2_M023	N	M	Ses01M	13.9	script	1
Ses01M_script02_2_M025	N	M	Ses01M	4.3	script	1
Ses01M_script02_2_M027	N	M	Ses01M	2.8	script	1
Ses01M_script02_2_M028	N	M	Ses01M	2.9	script	1
Ses01M_script02_2_M029	N	M	Ses01M	4.5	script	1
Ses01M_script02_2_M030	N	M	Ses01M	4.5	script	1
Ses01M_script02_2_M033	A	M	Ses01M	6.8	script	1
Ses01M_script02_2_M035	A	M	Ses01M	14.3	script	1
Ses01M_script02_2_M037	S	M	Ses01M	14.9	script	1
Ses01M_script02_2_M038	S	M	Ses01M	7.1	script	1
Ses01M_script02_2_M039	N	M	Ses01M	1.4	script	1
Ses01M_script02_2_M040	N	M	Ses01M	1.7	script	1
Ses01M_script02_2_M041	S	M	Ses01M	3.0	script	1
Ses01M_script02_2_M042	S	M	Ses01M	3.4	script	1
Ses01M_script02_2_M043	S	M	Ses01M	4.3	script	1
Ses01M_script02_2_M044	S	M	Ses01M	6.7	script	1
Ses01M_script02_2_M045	S	M	Ses01M	1.9	script	1
Ses01M_script02_2_M049	H	M	Ses01M	3.5	script	1
Ses01M_script02_2_M050	N	M	Ses01M	2.2	script	1
Ses01M_script02_2_M051	N	M	Ses01M	4.7	script	1
Ses01M_script02_2_M052	H	M	Ses01M	2.8	script	1
Ses01M_script02_2_M053	H	M	Ses01M	6.3	script	1
Ses01M_script02_2_M054	N	M	Ses01M	2.7	script	1
Ses01M_script01_3_F000	N	F	Ses01F	3.7	script	1
Ses01M_script01_3_F001	N	F	Ses01F	5.5	script	1
Ses01M_script01_3_F003	S	F	Ses01F	8.1	script	1
Ses01M_script01_3_F004	N	F	Ses01F	3.7	script	1
Ses01M_script01_3_F005	S	F	Ses01F	5.5	script	1
Ses01M_script01_3_F006	S	F	Ses01F	5.4	script	1
Ses01M_script01_3_F008	N	F	Ses01F	4.6	script	1
Ses01M_script01_3_F012	N	F	Ses01F	3.4	script	1
Ses01M_script01_3_F014	H	F	Ses01F	2.0	script	1
Ses01M_script01_3_F015	H	F	Ses01F	8.5	script	1
Ses01M_script01_3_F016	H	F	Ses01F	6.7	script	1
Ses01M_script01_3_F018	S	F	Ses01F	2.3	script	1
Ses01M_script01_3_F019	S	F	Ses01F	3.8	script	1
Ses01M_script01_3_F021	S	F	Ses01F	3.0	script	1
Ses01M_script01_3_F022	S	F	Ses01F	3.5	script	1
Ses01M_script01_3_F023	S	F	Ses01F	2.2	script	1
Ses01M_script01_3_F024	S	F	Ses01F	2.8	script	1
Ses01M_script01_3_F025	S	F	Ses01F	3.2	script	1
Ses01M_script01_3_F026	S	F	Ses01F	3.5	script	1
Ses01M_script01_3_F030	H	F	Ses01F	3.2	script	1
Ses01M_script01_3_M000	H	M	Ses01M	3.3	script	1
Ses01M_script01_3_M001	H	M	Ses01M	2.5	script	1
Ses01M_script01_3_M002	S	M	Ses01M	2.9	script	1
Ses01M_script01_3_M004	N	M	Ses01M	2.2	script	1
Ses01M_script01_3_M006	N	M	Ses01M	1.7	script	1
Ses01M_script01_3_M007	N	M	Ses01M	2.7	script	1
Ses01M_script01_3_M009	H	M	Ses01M	8.2	script	1
Ses01M_script01_3_M014	N	M	Ses01M	2.3	script	1
Ses01M_script01_3_M016	H	M	Ses01M	2.7	script	1
Ses01M_script01_3_M018	H	M	Ses01M	4.9	script	1
Ses01M_script01_3_M019	H	M	Ses01M	2.9	script	1
Ses01M_script01_3_M020	S	M	Ses01M	3.9	script	1
Ses01M_script01_3_M021	S	M	Ses01M	3.9	script	1
Ses01M_script01_3_M022	S	M	Ses01M	8.8	script	1
